PCIS Permit #,Status,Status Date,Permit Type,Permit Sub-Type,Issue Date,Address Start,Address End,Street Direction,Street Name,Street Suffix,Valuation,Floor Area-L.A. Zoning Code Definition,# of Residential Dwelling Units,# of Stories,Zone,Floor Area-L.A. Building Code Definition,Council District,Latitude/Longitude
16014-10000-02469,Issued,09/27/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/27/2016,3216,3216,N,LOWRY,ROAD,$50000.00,0,,0,R1-1,0,4,"(34.11189, -118.28073)"
16014-40000-02565,Issued,09/07/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/07/2016,12425,12425,W,INDIANAPOLIS,ST,$35000.00,561,0,2,R1-1,561,11,"(34.01377, -118.44239)"
16014-10000-01007,Issued,08/12/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/12/2016,3646,3646,N,CASTALIA,AVE,$78000.00,1440,,1,RD3-1,822,14,
16014-20000-03245,Issued,10/20/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/20/2016,3662,3662,S,VAN NESS,AVE,$7600.00,138,,0,R1-1-O,138,8,"(34.02137, -118.31646)"
16014-10000-00119,Issued,08/26/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/26/2016,1400,1400,N,SUTHERLAND,ST,$378000.00,3780,0,2,RD1.5-1VL,3003,13,"(34.07669, -118.25225)"
13010-20000-02505,Issued,08/23/2013 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,08/23/2013,4017,4017,S,TRINITY,ST,$9500.00,0,0,1,R2-1,594,9,"(34.01055, -118.27061)"
16010-20000-02756,Issued,09/19/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,09/19/2016,20132,20132,W,JUBILEE,WAY,$710000.00,5423,1,2,[T]RE-1,6117,12,"(34.28228, -118.57266)"
16010-10000-00431,Issued,10/03/2016 12:00:00 AM,Bldg-New,Apartment,10/03/2016,617,617,N,DILLON,ST,$12000000.00,50692,49,4,R4-1VL,72265,13,"(34.07894, -118.27894)"
16014-30000-03719,Issued,09/28/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/28/2016,205,205,S,CARMELINA,AVE,$650000.00,4537,0,2,R1-1,3696,11,"(34.05541, -118.48056)"
16014-10000-01371,Issued,09/06/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/06/2016,1252,1252,W,52ND,ST,$20000.00,336,,1,R2-1,336,9,"(33.99497, -118.29779)"
16014-30000-03381,Issued,09/06/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/06/2016,13103,13103,W,DEWEY,ST,$375000.00,3300,0,2,R1-1,2245,11,"(34.01131, -118.45294)"
16014-20000-04828,Issued,10/12/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/12/2016,15832,15832,W,LEMARSH,ST,$5400.00,322,0,1,RS-1,322,12,"(34.25538, -118.4775)"
16010-20000-01864,Issued,08/30/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,08/30/2016,2145,2145,N,NICHOLS CANYON,ROAD,$563000.00,5385,1,2,RE15-1-H,6413,4,"(34.1104, -118.36094)"
16014-10000-04370,Issued,09/16/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/16/2016,8845,8845,N,OAK PARK,AVE,$40000.00,388,0,0,RA-1,388,12,"(34.23162, -118.50561)"
16014-20000-04480,Issued,09/21/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/21/2016,2651,2651,N,LAKE VIEW,TER,$20000.00,246,0,0,R1-1VL,246,4,"(34.10498, -118.26328)"
16014-20000-02598,Issued,09/14/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/14/2016,16569,16569,W,VIA FLORESTA,,$50000.00,122,0,0,RE40-1-H,122,11,"(34.06084, -118.5469)"
16010-10000-00443,Issued,09/29/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,09/29/2016,1558,1558,W,CHIA,WAY,$202489.00,1519,1,3,[Q]C2-1VL-CDO,2177,1,
16010-10000-00896,Issued,08/30/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,08/30/2016,2412,2412,W,RIVERSIDE,DR,$400000.00,2025,1,2,R2-1VL,2655,13,"(34.10481, -118.25471)"
16014-20000-03532,Issued,10/18/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/18/2016,3510,3510,S,MCLAUGHLIN,AVE,$65000.00,1829,,1,R1-1,193,11,"(34.01378, -118.42836)"
16010-20000-02728,Issued,08/29/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,08/29/2016,656,656,S,GRETNA GREEN,WAY,$650000.00,4447.83,1,2,R1-1-O,4821.33,11,"(34.05256, -118.47577)"
15010-10000-03429,Issued,08/30/2016 12:00:00 AM,Bldg-New,Apartment,08/30/2016,417,417,N,HAWAIIAN,AVE,$1280934.00,7529,7,3,[Q]RD2-1XL-O,8340,15,
15010-10000-04026,Issued,09/30/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,09/30/2016,3723,3723,N,LOMITAS,DR,$10000.00,,,1,[Q]R1-1D,400,14,"(34.0893, -118.18741)"
14010-10000-03134,Issued,10/05/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,10/05/2015,4534,4534,E,PAULHAN,AVE,$98400.00,571,1,1,R2-1,571,14,
16014-20000-03981,Issued,08/25/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/25/2016,8439,8439,N,AMBOY,AVE,$50000.00,497,,0,R1-1-CUGU,497,6,"(34.22362, -118.39219)"
16014-20000-03783,Issued,08/19/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/19/2016,9944,9944,N,BABBITT,AVE,$40000.00,117,,1,RE11-1,426,12,"(34.2518, -118.5099)"
13010-20000-02418,Issued,02/19/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,02/19/2016,8273,8273,W,ELLENBOGEN,ST,$349000.00,2988,1,2,(T)(Q)RS-1-RFA,3450,7,"(34.27224, -118.3143)"
15010-20000-00821,Issued,05/09/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,05/09/2016,19509,19511,W,EMPIRE,LANE,$475000.00,4155,2,3,[Q]C2-1,5156,12,
16014-30000-04127,Issued,09/22/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/22/2016,7909,7909,S,CHASE,AVE,$50000.00,458.25,,1,R1-1,458.25,11,"(33.96806, -118.41226)"
16016-20000-11376,Issued,09/22/2016 12:00:00 AM,Bldg-Addition,Apartment,09/22/2016,7221,7221,N,IRVINE,AVE,$20000.00,2061,,0,R3-1,12,2,"(34.20185, -118.38569)"
15010-10000-04149,Issued,08/30/2016 12:00:00 AM,Bldg-New,Apartment,08/30/2016,1027,1027,W,E,ST,$1524582.00,8573,8,3,[Q]RD1.5-1XL-O,9500,15,
16010-10000-02208,Issued,08/17/2016 12:00:00 AM,Bldg-New,Commercial,08/17/2016,5555,5555,W,MELROSE,AVE,$15000.00,331,,1,[Q]M1-2D,331,13,"(34.08363, -118.32191)"
16014-20000-00158,Issued,08/19/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/19/2016,2071,2071,N,GLENCOE,WAY,$120000.00,312,,0,R2-1XL,312,4,
15014-20000-02927,Issued,10/06/2016 12:00:00 AM,Bldg-Addition,Commercial,10/06/2016,4904,4904,N,VAN NUYS,BLVD,$38000.00,379,,0,C1.5-1VL-RIO,379,4,"(34.15955, -118.44848)"
16010-10000-00424,Issued,09/29/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,09/29/2016,4331,4331,N,JIMSON,ROAD,$202489.00,1519,1,3,[Q]C2-1VL-CDO,2177,1,
16010-20000-01826,Issued,09/01/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,09/01/2016,4528,4528,N,GENTRY,AVE,$615000.00,4449,1,2,R1-1-RFA-RIO,4857,2,"(34.15296, -118.39304)"
13010-20000-02844,Issued,08/23/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,08/23/2016,4846,4846,N,CALDERON,ROAD,$423000.00,4357,1,2,RE40-1,4737,3,"(34.15818, -118.62037)"
15014-10000-02368,Issued,10/20/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/20/2015,2042,2042,N,PINEHURST,ROAD,$70000.00,498,,0,R2-1XL,498,4,"(34.10697, -118.3415)"
16010-20000-02805,Issued,09/14/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,09/14/2016,4238,4238,N,SHADYGLADE,AVE,$369000.00,3651,1,2,R1-1-RFA-RIO,4036,2,"(34.14789, -118.40176)"
16014-40000-04151,Issued,09/01/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/01/2016,1554,1554,N,LAKME,AVE,$35000.00,1396,0,1,R1-1XL-O-CUGU,328,15,"(33.79509, -118.26068)"
15010-20000-04561,Issued,09/29/2016 12:00:00 AM,Bldg-New,Apartment,09/29/2016,8600,8600,N,GLENOAKS,BLVD,$13130000.00,76137,60,3,(T)(Q)R4-1VL,111595,2,"(34.22652, -118.36301)"
16014-10000-02931,Issued,08/16/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/16/2016,122,122,S,LUCERNE,BLVD,$80000.00,345,,0,R1-1-HPOZ,345,4,"(34.07228, -118.32467)"
16014-20000-04580,Issued,10/07/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/07/2016,23231,23231,W,SCHOENBORN,ST,$20000.00,2145,0,2,RE11-1,28,12,"(34.22087, -118.63336)"
16014-20000-04097,Issued,09/20/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/20/2016,4191,4191,E,YORK,BLVD,$12000.00,0,,0,R1-1,0,14,"(34.12378, -118.22653)"
15014-20000-02261,Issued,10/07/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/07/2016,10519,10519,N,SHOSHONE,AVE,$6000.00,0,,0,R1-1,330,12,"(34.26178, -118.51781)"
16016-20000-12021,Issued,10/06/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/06/2016,9770,9770,W,LA CANADA,WAY,$25850.00,340,0,0,RA-1-K,340,7,"(34.2619, -118.3449)"
16014-10000-04606,Issued,09/30/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/30/2016,7965,7965,S,CHASE,AVE,$18483.00,183,0,1,R1-1,183,11,"(33.96657, -118.41209)"
16010-30000-02307,Issued,09/06/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,09/06/2016,1427,1427,S,WALGROVE,AVE,$85000.00,1011,,2,R1-1VLD,1011,11,"(34.00742, -118.45435)"
16014-20000-02702,Issued,08/24/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/24/2016,11356,11356,N,ACALA,AVE,$14500.00,144,,0,R1-1,144,7,"(34.27703, -118.44902)"
16010-10000-00446,Issued,09/29/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,09/29/2016,1554,1554,W,CHIA,WAY,$202489.00,1519,1,3,[Q]C2-1VL-CDO,2177,1,
16014-20000-03850,Issued,08/12/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/12/2016,1333,1333,W,60TH,ST,$5000.00,220,,0,R2-1,246,9,"(33.98598, -118.29913)"
14010-30000-04177,Issued,09/01/2016 12:00:00 AM,Bldg-New,Apartment,09/01/2016,6944,6944,S,KNOWLTON,PL,$5450000.00,44314,36,4,R3-1,59529,11,"(33.97373, -118.37114)"
16010-10000-00980,Issued,09/27/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,09/27/2016,134,136,E,79TH,ST,$354106.00,3175,2,2,R2-1,3309,9,"(33.96776, -118.27265)"
16014-20000-03863,Issued,09/07/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/07/2016,7038,7038,N,ENCINO,AVE,$45000.00,501.75,0,0,R1-1,465.75,6,"(34.19863, -118.51408)"
16014-20000-01490,Issued,08/18/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/18/2016,3943,3943,N,KENTUCKY,DR,$130000.00,1388,,1,R1-1,1766,4,"(34.13612, -118.36393)"
16014-20000-02787,Issued,08/26/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/26/2016,8520,8520,W,SKYLINE,DR,$32000.00,280,,0,RE40-1-H,280,4,"(34.1175, -118.38652)"
16010-20000-00039,Issued,10/12/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,10/12/2016,7024,7024,N,TAMPA,AVE,$180000.00,1151,1,2,R1-1-RIO,1596,3,"(34.19815, -118.55331)"
16014-20000-03451,Issued,08/17/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/17/2016,11739,11739,W,HESBY,ST,$16000.00,140,,1,R1-1,140,2,"(34.16227, -118.38919)"
16014-10000-03055,Issued,09/09/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/09/2016,1206,1206,S,SIERRA BONITA,AVE,$100000.00,2119,,0,R1-1-O,80,10,"(34.05335, -118.35765)"
13010-10000-04148,Issued,07/07/2014 12:00:00 AM,Bldg-New,Apartment,07/07/2014,14748,14748,W,SYLVAN,ST,$975000.00,7301,5,2,[Q]R3-1,10554,6,"(34.18448, -118.45471)"
16014-30000-03738,Issued,09/27/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/27/2016,12668,12668,W,ROSE,AVE,$30000.00,0,,1,R1-1,0,11,
16010-20000-01051,Issued,05/26/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,05/26/2016,10855,10855,N,SWEETWATER,CT,$809485.00,5290,1,1,(Q)RA-1-H,5947,12,
15014-20000-05925,Issued,06/08/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,06/08/2016,6031,6033,E,LA PRADA,,$50000.00,0,0,0,RD1.5-1,830,14,"(34.12517, -118.18846)"
16010-20000-01669,Issued,08/18/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,08/18/2016,11951,11951,W,PINNACLE,PL,$46000.00,836,,1,RE40-1-H,1313,2,"(34.12513, -118.39743)"
16016-10000-21996,Issued,09/23/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/23/2016,18659,18659,W,CHASE,ST,$7360.00,0,0,1,R1-1,0,12,"(34.22472, -118.54022)"
16010-70000-00012,Issued,08/04/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,08/04/2016,1846,1846,S,CURSON,AVE,$371000.00,3344,2,3,RD1.5-1,3955,10,"(34.04204, -118.36245)"
16014-20000-00383,Issued,08/22/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/22/2016,1057,1057,E,INDIANA,AVE,$30000.00,1986,,1,R1-1VLD,187,11,"(34.00413, -118.46093)"
16014-20000-04011,Issued,08/25/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/25/2016,19559,19559,W,VANOWEN,ST,$30000.00,62,,0,R1-1-RIO,62,3,"(34.19396, -118.55989)"
16014-20000-04415,Issued,09/19/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/19/2016,14802,14802,W,OTSEGO,ST,$36000.00,348.4,0,0,R1-1-RIO,348.4,4,"(34.16291, -118.4554)"
16014-20000-04749,Issued,10/17/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/17/2016,7849,7849,N,WOODMAN,AVE,$30000.00,414,,1,R1-1,486,6,"(34.2137, -118.43124)"
16014-70000-02920,Issued,10/18/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/18/2016,8021,8021,S,AVALON,BLVD,$175000.00,2875,1,2,R3-1,1575,9,"(33.96588, -118.26532)"
16014-30000-01706,Issued,08/12/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/12/2016,10319,10319,W,LA GRANGE,AVE,$175000.00,2828,0,2,R1-1-O,715,5,"(34.05673, -118.42103)"
16010-10000-03559,Issued,09/16/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,09/16/2016,8219,8219,N,QUARTZ,AVE,$20000.00,342,,1,RA-1,342,3,"(34.21861, -118.5647)"
16014-20000-02940,Issued,09/01/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/01/2016,2633,2633,N,EDEN,PL,$54600.00,494,,2,RE15-1-H,494,4,"(34.12028, -118.40096)"
16014-20000-02949,Issued,10/14/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/14/2016,7315,7315,S,WESTLAWN,AVE,$100000.00,2246,0,2,R1-1,689,11,"(33.97441, -118.41124)"
16014-20000-04394,Issued,09/16/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/16/2016,6138,6138,N,BALCOM,AVE,$70000.00,510,,1,R1-1-RIO,510,5,"(34.18159, -118.52027)"
16014-20000-04850,Issued,10/12/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/12/2016,19600,19600,W,HART,ST,$8000.00,132.2,,1,R1-1-RIO,132.2,3,"(34.19734, -118.56003)"
16014-10000-01903,Issued,09/27/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/27/2016,1841,1841,N,CAMINO PALMERO,,$75000.00,428,0,2,RE9-1,428,4,"(34.10471, -118.35038)"
16010-30000-00839,Issued,09/19/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,09/19/2016,3486,3486,S,WADE,ST,$620000.00,4022,1,2,R1-1,4022,11,"(34.00863, -118.44307)"
16010-20000-01414,Issued,08/22/2016 12:00:00 AM,Bldg-New,Commercial,08/22/2016,8001,8001,N,VENTURA CANYON,AVE,$122551.00,0,,1,(T)R3-1,3095,6,"(34.21649, -118.42885)"
14014-20000-01390,Issued,10/05/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/05/2016,8230,8230,N,QUIET HILLS,CT,$70000.00,678.4,0,2,RE40-1-H-K,678.4,12,"(34.2186, -118.6479)"
16014-10000-02893,Issued,08/29/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/29/2016,12234,12234,W,CANTURA,ST,$25000.00,1298,0,1,R1-1-RFA-RIO,119,2,"(34.14212, -118.39998)"
15010-20000-03926,Issued,09/29/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,09/29/2016,14840,14840,W,LILAC,RD,$198422.00,1658,1,3,RD1.5-1,2010,6,
15010-10000-04167,Issued,08/30/2016 12:00:00 AM,Bldg-New,Apartment,08/30/2016,1130,1130,W,D,ST,$1515672.00,8817,8,3,[Q]RD1.5-1XL-O,9723,15,
16010-20000-02977,Issued,09/28/2016 12:00:00 AM,Bldg-New,Commercial,09/28/2016,6320,6320,N,CANOGA,AVE,$16000.00,573,,1,WC,573,3,"(34.18499, -118.59722)"
16014-20000-04195,Issued,09/14/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/14/2016,8064,8064,N,WILKINSON,AVE,$8000.00,115,,1,RS-1,115,2,"(34.21757, -118.40401)"
13014-20000-01535,Issued,08/19/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/19/2016,11960,11960,E,VARA,PL,$20000.00,400,,0,RA-1-O-K,400,12,
16014-10000-03872,Issued,10/03/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/03/2016,6117,6117,W,76TH,ST,$40000.00,1589,0,0,R1-1,353,11,"(33.97154, -118.3927)"
15010-10000-04165,Issued,08/30/2016 12:00:00 AM,Bldg-New,Apartment,08/30/2016,322,322,N,HAWAIIAN,AVE,$1201230.00,6728,6,3,[Q]RD1.5-1XL-O,7225,15,
16014-10000-02324,Issued,09/21/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/21/2016,2207,2207,S,HILLSBORO,AVE,$75000.00,1926,0,1,R1-1-O,123,5,"(34.04218, -118.38933)"
16014-10000-01465,Issued,08/18/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/18/2016,5660,5660,W,BRUSHTON,ST,$83123.00,2485,0,2,R1-1,823,10,"(34.018, -118.36955)"
16014-30000-04331,Issued,09/14/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/14/2016,2620,2620,S,MIDVALE,AVE,$60000.00,1823,,1,R1-1,137,5,"(34.03578, -118.42612)"
16014-10000-03796,Issued,09/07/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/07/2016,3027,3027,E,EAST SIDE,BLVD,$25000.00,115,0,1,R2-1-CUGU,115,14,
13010-10001-04258,Issued,08/18/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/18/2016,1622,1622,N,VIEWMONT,DR,$92000.00,8295,0,2,R1-1,669,4,"(34.10092, -118.37908)"
16014-20000-04712,Issued,10/12/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/12/2016,549,549,N,WILCOX,AVE,$20000.00,165,0,0,RE9-1-HPOZ,165,4,"(34.08031, -118.33096)"
16010-70000-03327,Issued,10/04/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,10/04/2016,10911,10911,S,BROADWAY,,$22000.00,0,,1,RD2-1,399,8,"(33.93696, -118.27852)"
16014-10000-03101,Issued,10/19/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/19/2016,616,616,N,RAMPART,BLVD,$50000.00,1888,0,1,RD2-1VL,667,13,"(34.07599, -118.27227)"
16010-20000-01411,Issued,08/22/2016 12:00:00 AM,Bldg-New,Commercial,08/22/2016,8001,8001,N,VENTURA CANYON,AVE,$199684.00,0,,1,(T)R3-1,5190,6,"(34.21649, -118.42885)"
16014-20000-04663,Issued,09/30/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/30/2016,3441,3441,S,VIRGINIA,ROAD,$28000.00,401,,1,R1-1,401,10,"(34.02431, -118.33958)"
16010-70000-04123,Issued,09/16/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,09/16/2016,19030,19030,W,STRATHERN,ST,$22000.00,0,,1,RA-1,400,3,"(34.21552, -118.54816)"
16014-20000-04873,Issued,10/17/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/17/2016,22226,22226,W,YBARRA,ROAD,$30000.00,307,,0,R1-1,307,3,"(34.15376, -118.61057)"
16014-20000-03396,Issued,08/30/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/30/2016,8564,8564,N,TOPANGA CANYON,BLVD,$10000.00,0,,0,RS-1,234,3,"(34.22646, -118.60564)"
16014-10000-02996,Issued,08/29/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/29/2016,15413,15413,W,VIA DE LAS OLAS,,$400000.00,5155,,2,R1-1,462,11,"(34.03612, -118.53034)"
16014-20001-03351,Issued,09/01/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/01/2016,7209,7209,W,90TH,ST,$8100.00,2041,0,0,R1-1,77,11,"(33.95671, -118.4195)"
16010-70000-03722,Issued,08/30/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,08/30/2016,3617,3617,S,FARIS,DR,$27000.00,266,,1,R3-1,266,5,"(34.02794, -118.40071)"
16010-20000-02836,Issued,08/25/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,08/25/2016,1127,1127,N,HYPERION,AVE,$7000.00,0,,1,RD2-1VL,490,13,"(34.09258, -118.2792)"
16014-20000-01269,Issued,08/17/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/17/2016,6839,6839,N,BOVEY,AVE,$250000.00,839,,2,R1-1-RIO,839,3,"(34.19499, -118.56048)"
16014-20000-01491,Issued,09/21/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,09/21/2016,773,773,N,SWARTHMORE,AVE,$500000.00,3458,1,2,R1-1,3519,11,"(34.04447, -118.52669)"
16014-30000-04082,Issued,09/02/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/02/2016,12965,12965,W,GREENE,AVE,$12000.00,876,0,1,R1-1,90,11,"(33.98694, -118.43203)"
16014-30000-04315,Issued,09/29/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/29/2016,2641,2641,S,BUTLER,AVE,$50000.00,1609,0,1,R1-1,36,11,"(34.02888, -118.43775)"
15014-20001-05093,Issued,08/17/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/17/2016,13133,13133,W,WEDDINGTON,ST,$3800.00,23,,2,R1-1,50,4,"(34.16635, -118.41937)"
16014-20000-03170,Issued,09/06/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/06/2016,1219,1219,N,ALVARADO,ST,$150000.00,105,0,0,RD2-1VL,105,13,"(34.07874, -118.26295)"
16014-20000-04651,Issued,09/30/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/30/2016,17122,17122,W,TRIBUNE,ST,$50000.00,268,0,0,R1-1,268,12,"(34.26673, -118.50611)"
14010-20000-01798,Issued,09/28/2016 12:00:00 AM,Bldg-New,Commercial,09/28/2016,13187,13187,N,SAN FERNANDO,ROAD,$504000.00,3000,,2,[Q]C2-1,3000,7,"(34.31041, -118.47403)"
16014-20000-04630,Issued,09/29/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/29/2016,6511,6511,N,BONNER,AVE,$7000.00,36,,1,R1-1,36,2,"(34.18878, -118.37385)"
16014-20000-00187,Issued,09/09/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/09/2016,6711,6713,N,CLYBOURN,AVE,$338000.00,3125,,0,RD3-1,1505,2,"(34.19249, -118.36387)"
16014-20000-03132,Issued,08/15/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/15/2016,8422,8422,N,KATHERINE,AVE,$38000.00,376,,0,R1-1,376,6,"(34.22414, -118.44252)"
16014-20000-03302,Issued,10/18/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/18/2016,4606,4606,W,WELCH,PL,$57000.00,754,,2,R2-1XL,754,4,"(34.10602, -118.2904)"
15010-20000-02994,Issued,10/18/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,10/18/2016,11211,11211,W,SUNBURST,ST,$175000.00,1137,1,1,RS-1,1310,7,
15014-40000-05085,Issued,08/25/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/25/2016,732,732,W,SEPULVEDA,ST,$15000.00,225,,0,RD1.5-1XL,225,15,"(33.74572, -118.29311)"
14014-20002-01698,Issued,08/12/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/12/2016,11507,11507,W,ORUM,ROAD,$10000.00,11319,,2,RE20-1-H,31,5,"(34.08943, -118.46356)"
16014-20000-04589,Issued,09/28/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/28/2016,6444,6444,N,MATILIJA,AVE,$60000.00,587,,1,R1-1,587,2,"(34.18798, -118.4333)"
16010-20000-04751,Issued,10/14/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,10/14/2016,12827,12827,N,HERRICK,AVE,$28300.00,246,,1,R1-1,246,7,"(34.30271, -118.45017)"
